Nombre;Valor
nPiezaLarga;1300
nEspesorMax;50
nDistMin_NegX;347.5
nLargoMax;5000
nError;1129
nDistMin_NegY_cB;402.5
nDistMin_PosY_cB;302.5
nMinNum;-8388607
nMaxNum;8388608
nDistMin_PosX;347.5
nDistMin_NegY_sB;289.8
nDistMin_PosY_sB;256.86
nAnchoMax;5000
nMesa;0
nRotBrazos;1
nERRNO;199
nRot_bCorto;1
nRot_bLargo;1.4
