Nombre;Robhold;Tframe.Trans.X;Tframe.Trans.Y;Tframe.Trans.Z;Tframe.Rot.Q1;Tframe.Rot.Q2;Tframe.Rot.Q3;Tframe.Rot.Q4;Tload.Mass;Tload.Cog.X;Tload.Cog.Y;Tload.Cog.Z;Tload.Aom.Q1;Tload.Aom.Q2;Tload.Aom.Q3;Tload.Aom.Q4;Tload.Ix;Tload.Iy;Tload.Iz
tWZ;True;175;350;695;4,32964E-17;-0,707107;0,707107;-4,32964E-17;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tDejada;True;175;350;679;4,32964E-17;-0,707107;0,707107;-4,32964E-17;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tTrans;True;175;350;695;4,32964E-17;-0,707107;0,707107;-4,32964E-17;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tDejadaInferior;True;175;350;695;4,32964E-17;-0,707107;0,707107;-4,32964E-17;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tCentralVolumen;True;-31,215;0;695;0,707107;0;0;-0,707107;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tCentroPieza;True;0;110;679;4,32964E-17;-0,707107;0,707107;-4,32964E-17;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tCentralConPieza;True;0;0;695;0,707107;0;0;-0,707107;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tDejadaSinPieza;True;175;350;694,5;4,32964E-17;-0,707107;0,707107;-4,32964E-17;58,31;23,3;10,3;230,2;1;0;0;0;4,707;5,416;1,662
tDejada2;True;439,938;400;671,845;0,00617059;0,70708;-0,70708;-0,00617059;58,31;28,7;7,6;248,9;1;0;0;0;5,554;6,371;1,867
