Nombre;Robax.Rax_1;Robax.Rax_2;Robax.Rax_3;Robax.Rax_4;Robax.Rax_5;Robax.Rax_6;Extax.Eax_a;Extax.Eax_b;Extax.Eax_c;Extax.Eax_d;Extax.Eax_e;Extax.Eax_f
pCalibIni;90;7,1704;2,27356;0;80,3183;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
pCalibIniM1;90;7,1704;2,27356;0;80,3183;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
jPosAct;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
pCalibIniM2;-90;7,1704;2,27356;0;80,3183;-90;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;0
