Nombre;Trans.X;Trans.Y;Trans.Z;Rot.Q1;Rot.Q2;Rot.Q3;Rot.Q4
peFijaM1;557,147;454,239;3307,56;0,00325893;-0,699071;0,715045;-0,000293418
peFijaM2;0;0;0;1;0;0;0
