Nombre;Trans.X;Trans.Y;Trans.Z;Rot.Q1;Rot.Q2;Rot.Q3;Rot.Q4
poseEsquina2;-175;-130;679;4,32964E-17;0,707107;0,707107;4,32964E-17
poseEsquina1;175;-130;679;0,707107;1,53642E-24;-1,53642E-24;-0,707107
poseEsquina4;175;350;679;4,32964E-17;-0,707107;0,707107;-4,32964E-17
poseEsquina3;-175;350;679;0,707107;-8,65927E-17;-8,65927E-17;0,707107
