Nombre;Trans.X;Trans.Y;Trans.Z;Rot.Q1;Rot.Q2;Rot.Q3;Rot.Q4;Robconf.Cf1;Robconf.Cf4;Robconf.Cf6;Robconf.Cfx;Extax.Eax_a;Extax.Eax_b;Extax.Eax_c;Extax.Eax_d;Extax.Eax_e;Extax.Eax_f
pDejadaP2;-1017;734;50;0,707107;0;0;-0,707107;0;-1;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;1648,77
pDejadaP1;-480;0;32;1;0;0;0;0;-1;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;1648,77
pPosActual;1521,53;15,0193;152,355;1;3,42042E-05;1,78168E-05;1,87305E-05;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;2001,56
