Nombre;Valor
nPiezaLarga;<sin valor>
nEspesorMax;<sin valor>
nDistMin_NegX;<sin valor>
nLargoMax;<sin valor>
nError;<sin valor>
nDistMin_NegY_cB;<sin valor>
nDistMin_PosY_cB;<sin valor>
nMinNum;<sin valor>
nMaxNum;<sin valor>
nDistMin_PosX;<sin valor>
nDistMin_NegY_sB;<sin valor>
nDistMin_PosY_sB;<sin valor>
ERR_COMP_INV;<sin valor>
nAnchoMax;<sin valor>
nMesa;<sin valor>
nRotBrazos;<sin valor>
nERRNO;<sin valor>
nRot_bCorto;<sin valor>
nRot_bLargo;<sin valor>
