Nombre;Valor
nY_cam3D;<sin valor>
nRz_cam3D;<sin valor>
nRy_cam3D;<sin valor>
nRx_cam3D;<sin valor>
nX_caja;<sin valor>
nY_caja;<sin valor>
nX_cam3D;<sin valor>
nrZ_caja;<sin valor>
nZ_cam3D;<sin valor>
dnPulsoEncoder;<sin valor>
