Nombre;Valor
nOrientacionCogidaMem2;<sin valor>
nFueraPosCnvM2;<sin valor>
nFueraAntCnvM2;<sin valor>
nFueraPosMesaM2;<sin valor>
nFueraAntMesaM2;<sin valor>
nOffPosDejadaM2;<sin valor>
nOffPosDejadaAuxM2;<sin valor>
nOffDejadaAuxM2;<sin valor>
nOffAntDejadaM2;<sin valor>
nOffPosCogidaM2;<sin valor>
nOffPosCogidaAuxM2;<sin valor>
nOffCogidaAuxM2;<sin valor>
nOffAntCogidaM2;<sin valor>
nTmpAntSopCajaM2;<sin valor>
nTmpPulsoSopladoM2;<sin valor>
nTmpPosSopVentosaM2;<sin valor>
nTmpPosDejadaM2;<sin valor>
nTmpAntDejadaM2;<sin valor>
nTmpPosVacCajaM2;<sin valor>
nTmpPosCogida2M2;<sin valor>
nTmpPosCogidaM2;<sin valor>
nTmpAntCogidaM2;<sin valor>
nZ_AltoM2;<sin valor>
nY_AnchoM2;<sin valor>
nX_LargoM2;<sin valor>
