Nombre;Trans.X;Trans.Y;Trans.Z;Rot.Q1;Rot.Q2;Rot.Q3;Rot.Q4
psPosFijaCinta;2211,51;0;-15;1;0;0;0
psPosFijaM2;101,625;-24,8809;174,797;0,999998;0,00160398;6,31876E-05;-0,000852477
