Nombre;Trans.X;Trans.Y;Trans.Z;Rot.Q1;Rot.Q2;Rot.Q3;Rot.Q4;Robconf.Cf1;Robconf.Cf4;Robconf.Cf6;Robconf.Cfx;Extax.Eax_a;Extax.Eax_b;Extax.Eax_c;Extax.Eax_d;Extax.Eax_e;Extax.Eax_f
pCogidaAux1Mem2;8,999999E+09;8,999999E+09;8,999999E+09;1;0;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
pAntCogidaMem2;8,999999E+09;8,999999E+09;8,999999E+09;1;0;0;0;0;0;0;0;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09;8,999999E+09
pCogidaM2;340;200;-17;6,12303E-17;1;0;0;0;0;0;0;0;0;0;0;0;0
